,SubjectID,context,speaker,meanACC,meanRT,Hits,FAlarms,miss,cr,n,pH,pFA,dprime,pair,pu,vvl,cloze
43,200,Initial,L2,0.916666667,1108.9575,0,0,1,11,12,0.125,0.0135,1.061168429,hr,control,ccontrol,0.416666667
44,200,Medial,L2,0.928571429,893.185,0,0,1,13,14,0.125,0.0135,1.061168429,hr,control,ccontrol,0.416666667
45,200,Final,L2,1,1021.978125,0,0,0,16,16,NA,0.0135,NA,hr,control,ccontrol,0.416666667
46,200,Initial,L2,1,1106.608571,0,0,0,14,14,NA,0.0135,NA,sz,control,ccontrol,0.416666667
47,200,Final,L2,1,1075.842188,4,0,0,28,32,0.875,0.0135,3.36186719,Hs,control,ccontrol,0.416666667
48,200,Medial,L2,0.875,1001.677188,2,2,2,26,32,0.5,0.071428571,1.465233793,Az,control,ccontrol,0.416666667
49,200,Medial,L2,0.875,930.355625,2,2,2,26,32,0.5,0.071428571,1.465233793,Hx,control,voiceless,0.416666667
50,200,Final,L2,0.911764706,1135.371471,2,2,1,29,34,0.666666667,0.064516129,1.948656459,Hx,control,voiceless,0.416666667
51,200,Final,L2,1,1022.122353,4,0,0,30,34,0.875,0.0135,3.36186719,Hq,control,ccontrol,0.416666667
52,200,Medial,L2,0.96875,950.6584375,4,0,1,27,32,0.8,0.0135,3.053139043,AH,pharyngeal,ccontrol,0.416666667
53,200,Medial,L2,0.928571429,870.5614286,0,0,1,13,14,0.125,0.0135,1.061168429,Hr,control,ccontrol,0.416666667
54,200,Final,L2,1,1093.817857,0,0,0,14,14,NA,0.0135,NA,Hr,control,ccontrol,0.416666667
55,200,Medial,L2,0.911764706,975.9011765,6,0,3,25,34,0.666666667,0.0135,2.642245108,Hz,control,ccontrol,0.416666667
56,200,Final,L2,0.882352941,1143.364706,3,1,3,27,34,0.5,0.035714286,1.802743091,xz,control,ccontrol,0.416666667
57,200,Medial,L2,0.928571429,881.8732143,0,0,2,26,28,0.125,0.0135,1.061168429,hH,control,ccontrol,0.416666667
58,200,Final,L2,1,1055.503333,0,0,0,30,30,NA,0.0135,NA,hH,control,ccontrol,0.416666667
59,200,Medial,L2,0.96875,978.298125,4,0,1,27,32,0.8,0.0135,3.053139043,Hs,control,ccontrol,0.416666667
60,200,Final,L2,0.944444444,1096.148056,3,1,1,31,36,0.75,0.03125,2.537221618,hx,control,ccontrol,0.416666667
61,200,Medial,L2,0.677419355,1076.80871,4,0,10,17,31,0.285714286,0.0135,1.645568987,AR,control,voiced,0.416666667
62,200,Final,L2,0.694444444,1118.618889,2,2,9,23,36,0.181818182,0.08,0.496613692,AR,control,voiced,0.416666667
63,200,Initial,L2,1,1011.419667,4,0,0,26,30,0.875,0.0135,3.36186719,Rs,control,ccontrol,0.416666667
64,200,Initial,L2,1,1016.83875,4,0,0,28,32,0.875,0.0135,3.36186719,Hs,control,ccontrol,0.416666667
65,200,Final,L2,0.735294118,1111.872059,4,0,9,21,34,0.307692308,0.0135,1.709115586,Rs,control,ccontrol,0.416666667
66,200,Initial,L2,0.964285714,885.6707143,4,0,1,23,28,0.8,0.0135,3.053139043,Ax,control,ccontrol,0.416666667
67,200,Initial,L2,0.916666667,929.81,0,0,1,11,12,0.125,0.0135,1.061168429,xz,control,ccontrol,0.416666667
68,200,Medial,L2,0.970588235,968.9567647,6,0,1,27,34,0.857142857,0.0135,3.279088333,Hq,control,ccontrol,0.416666667
69,200,Final,L2,0.916666667,1104.035833,2,2,1,31,36,0.666666667,0.060606061,1.9804332,Ax,control,ccontrol,0.416666667
70,200,Final,L2,0.941176471,1066.848235,6,0,2,26,34,0.75,0.0135,2.886007559,Hz,control,ccontrol,0.416666667
71,200,Initial,L2,0.964285714,944.0785714,4,0,1,23,28,0.8,0.0135,3.053139043,Rx,uvular,ccontrol,0.416666667
72,200,Medial,L2,0.875,961.9846875,2,2,2,26,32,0.5,0.071428571,1.465233793,hx,control,ccontrol,0.416666667
73,200,Initial,L2,1,982.7842857,0,0,0,14,14,NA,0.0135,NA,Hz,control,ccontrol,0.416666667
74,200,Medial,L2,0.96875,972.726875,4,0,1,27,32,0.8,0.0135,3.053139043,Ax,control,ccontrol,0.416666667
75,200,Initial,L2,1,985.805625,6,0,0,26,32,0.875,0.0135,3.36186719,Hq,control,ccontrol,0.416666667
76,200,Final,L2,0.935483871,1055.423548,3,0,2,26,31,0.6,0.0135,2.464864912,sz,control,ccontrol,0.416666667
77,200,Final,L2,0.882352941,1037.328235,2,2,2,28,34,0.5,0.066666667,1.501085946,Az,control,ccontrol,0.416666667
78,200,Final,L2,0.882352941,1055.907353,0,4,0,30,34,NA,0.117647059,NA,AH,pharyngeal,ccontrol,0.416666667
